account_id,account_name,segment,industry,employees,created_date
ACC-2072,Davis-Crane,SMB,Fintech,37,2025-06-06
ACC-2073,Walker-Gonzalez,SMB,SaaS,82,2024-02-05
ACC-2074,Riggs PLC,Mid-Market,SaaS,1607,2024-12-19
ACC-2075,Mercado-Johnston,Enterprise,Media,18457,2025-06-24
ACC-2076,Snyder-Sanchez,Enterprise,Media,43568,2025-06-18
ACC-2077,Stafford Inc,SMB,Retail,80,2024-06-18
ACC-2078,Brock Ltd,SMB,Manufacturing,43,2024-12-26
ACC-2079,Grant Inc,SMB,Retail,123,2024-04-13
ACC-2080,Contreras-Travis,SMB,Manufacturing,12,2024-09-03
ACC-2081,Salazar-Ball,Enterprise,Manufacturing,37755,2024-11-27
ACC-2082,"Griffin, Moore and Hensley",SMB,Retail,104,2024-07-20
ACC-2083,Larsen LLC,SMB,Manufacturing,42,2025-01-11
ACC-2084,"Allen, Gonzales and Reeves",SMB,Fintech,20,2024-07-30
ACC-2085,Flores-Fernandez,Mid-Market,Fintech,410,2024-04-27
ACC-2086,Reyes and Sons,Mid-Market,Media,1471,2024-06-15
ACC-2087,Perry LLC,Enterprise,Manufacturing,12649,2024-12-27
ACC-2088,Brown-Wall,Enterprise,Retail,3624,2025-08-20
ACC-2089,"Shah, Smith and Gilmore",SMB,Manufacturing,95,2024-10-22
ACC-2090,Smith-Bell,Mid-Market,Retail,1860,2025-10-24
ACC-2091,Medina-Navarro,SMB,Manufacturing,189,2025-11-28
ACC-2092,Freeman LLC,Enterprise,Retail,15079,2025-01-12
ACC-2093,Price Ltd,Mid-Market,Media,916,2025-09-11
ACC-2094,Ramsey-Pittman,Mid-Market,Fintech,656,2025-04-28
ACC-2095,"Johnson, Long and Elliott",Mid-Market,SaaS,872,2024-03-06
ACC-2096,"Patterson, Camacho and White",Enterprise,Healthcare,44040,2024-10-21
ACC-2097,Lewis-Murphy,SMB,Retail,183,2024-08-04
ACC-2098,King-Miller,SMB,SaaS,17,2025-08-04
ACC-2099,"Williams, Crane and Walker",SMB,SaaS,77,2025-08-29
ACC-2100,"Williams, Johnson and Wright",Mid-Market,SaaS,1692,2025-04-27
ACC-2101,Allen Group,SMB,Media,140,2024-03-29
ACC-2102,"Gould, Marshall and Scott",Enterprise,Healthcare,4908,2024-05-10
ACC-2103,"Lawson, Adkins and Wilson",Mid-Market,Fintech,1264,2024-08-29
ACC-2104,Lane LLC,Mid-Market,Manufacturing,1709,2025-06-10
ACC-2105,Sanders-Espinoza,SMB,SaaS,120,2025-04-04
ACC-2106,"Rivas, Sanchez and Terry",Enterprise,Healthcare,45475,2025-10-22
ACC-2107,"Burke, Martinez and Riggs",Mid-Market,SaaS,815,2024-09-26
ACC-2108,"Patterson, Wood and Hunter",SMB,Healthcare,114,2024-01-10
ACC-2109,Short-Garcia,Mid-Market,Healthcare,460,2025-05-08
ACC-2110,Zimmerman-Graham,SMB,Media,107,2025-02-09
ACC-2111,"Nelson, Morton and Medina",Mid-Market,Retail,1031,2024-12-27
ACC-2112,Petersen-Vargas,Mid-Market,Healthcare,787,2025-10-23
ACC-2113,Rivas Inc,SMB,Healthcare,158,2025-11-15
ACC-2114,Sanchez-Marshall,SMB,Manufacturing,123,2025-06-02
ACC-2115,Rogers-Snyder,SMB,Healthcare,131,2024-05-21
ACC-2116,Lewis-Salinas,Mid-Market,Healthcare,1255,2024-08-05
ACC-2117,"Haynes, Hill and Smith",Mid-Market,Fintech,391,2024-03-07
ACC-2118,Cortez Group,Mid-Market,Manufacturing,1851,2025-08-11
ACC-2119,Vaughn Ltd,SMB,Media,21,2025-01-16
ACC-2120,Mcguire-Davis,Mid-Market,Fintech,1132,2024-11-10
ACC-2121,"Sanchez, Beck and Wood",Enterprise,Manufacturing,49077,2025-02-16
ACC-2122,Coleman-Reese,Mid-Market,Healthcare,1018,2024-09-30
ACC-2123,"Chavez, Parker and Hall",SMB,Media,186,2024-05-29
ACC-2124,Wilson-Herrera,Mid-Market,Media,560,2024-05-23
ACC-2125,Robinson Group,SMB,Healthcare,22,2025-07-16
ACC-2126,"Bray, Warren and Campbell",Enterprise,SaaS,10738,2025-10-08
ACC-2127,Phillips LLC,Mid-Market,Fintech,1287,2024-08-22
ACC-2128,Erickson and Sons,Mid-Market,Healthcare,1454,2024-02-05
ACC-2129,Tran Ltd,Enterprise,Fintech,37905,2025-05-10
ACC-2130,Garcia-Smith,SMB,Healthcare,50,2024-12-30
ACC-2131,Alexander-Lopez,SMB,SaaS,73,2024-07-15
ACC-2132,Wilson-Jones,SMB,Retail,143,2024-02-27
ACC-2133,"Soto, Brown and Hernandez",SMB,Manufacturing,122,2024-08-23
ACC-2134,Mcknight Inc,SMB,Manufacturing,79,2025-08-16
ACC-2135,Obrien-Gibbs,Enterprise,Fintech,11884,2025-08-25
ACC-2136,"James, Kerr and Evans",SMB,Manufacturing,187,2024-11-29
ACC-2137,Carroll-Brown,SMB,Media,116,2024-03-18
ACC-2138,Garrett LLC,SMB,Media,116,2024-03-04
ACC-2139,Allen PLC,Mid-Market,SaaS,1776,2024-05-01
ACC-2140,Ortiz Ltd,Enterprise,Manufacturing,39728,2024-12-30
ACC-2141,Johnson-Roberts,SMB,Healthcare,11,2025-06-30
ACC-2142,Jones-Hall,Mid-Market,Healthcare,1302,2025-09-03
ACC-2143,"Lawrence, Lara and Gonzalez",Mid-Market,SaaS,1199,2025-02-26
ACC-2144,Holland LLC,SMB,Fintech,134,2024-02-25
ACC-2145,Martin LLC,SMB,Manufacturing,183,2025-08-04
ACC-2146,"Morse, Gonzales and Harrison",Mid-Market,Healthcare,461,2025-06-27
ACC-2147,Bender-Mason,SMB,Retail,110,2024-12-06
ACC-2148,George Group,Mid-Market,Media,1516,2024-09-07
ACC-2149,"Wright, Davis and Hayden",SMB,Manufacturing,128,2025-04-01
ACC-2150,Key Ltd,SMB,Healthcare,93,2025-03-23
ACC-2151,Hines and Sons,SMB,Retail,107,2025-02-07
ACC-2152,"Ramos, Ramirez and Shea",SMB,Retail,30,2025-05-08
ACC-2153,Costa-Harrison,Mid-Market,Retail,916,2024-09-15
ACC-2154,Santiago-Hodge,Mid-Market,Healthcare,282,2024-11-15
ACC-2155,"Simpson, Bates and Morales",Enterprise,Manufacturing,3335,2024-01-29
ACC-2156,Miller-King,Mid-Market,SaaS,458,2025-08-23
ACC-2157,Hancock-Bryan,Mid-Market,SaaS,646,2025-05-25
ACC-2158,"Murray, Brown and Stone",Mid-Market,Manufacturing,543,2025-08-10
ACC-2159,Garrett-Wolf,Mid-Market,Fintech,434,2024-07-26
ACC-2160,"Anderson, Roberts and Gilmore",Enterprise,Retail,3682,2024-04-04
ACC-2161,Dudley PLC,Enterprise,Fintech,26596,2025-07-05
ACC-2162,Collins Inc,SMB,Manufacturing,193,2024-11-12
ACC-2163,Walker Inc,Mid-Market,Retail,697,2024-04-01
ACC-2164,"Collier, Jimenez and Moran",Mid-Market,Manufacturing,1941,2025-07-01
ACC-2165,Perry-Olson,Mid-Market,Retail,1830,2024-07-08
ACC-2166,Arnold-Reyes,Mid-Market,Manufacturing,1291,2025-01-29
ACC-2167,"Suarez, Shields and Hill",Mid-Market,Retail,1236,2024-09-20
ACC-2168,"Adams, Smith and Barber",SMB,Manufacturing,117,2025-03-26
ACC-2169,"Burns, Hernandez and Ryan",SMB,Healthcare,102,2024-09-15
ACC-2170,"Hines, Bennett and Cantu",Mid-Market,Fintech,560,2025-06-25
ACC-2171,Armstrong and Sons,Enterprise,Retail,37269,2024-02-03
ACC-2172,Garner-Thornton,Mid-Market,Retail,1092,2024-10-26
ACC-2173,"Sparks, Pearson and Hernandez",Mid-Market,SaaS,1944,2024-04-08
ACC-2174,"Sanford, Rivera and Garcia",Mid-Market,Retail,771,2024-03-18
ACC-2175,"Lozano, Smith and Thomas",SMB,Media,128,2024-04-29
ACC-2176,Harrison LLC,Mid-Market,Healthcare,258,2025-04-29
ACC-2177,"Sanders, Miller and Murphy",Enterprise,Media,15901,2025-10-29
ACC-2178,"James, Stewart and Higgins",SMB,Retail,76,2025-11-08
ACC-2179,"Johnson, Jones and Welch",Enterprise,Healthcare,38424,2024-06-25
ACC-2180,"Davis, Good and Hodges",SMB,Media,58,2025-11-08
ACC-2181,Wallace Ltd,Mid-Market,Healthcare,1337,2024-01-23
ACC-2182,Nguyen Inc,Mid-Market,Healthcare,1657,2024-10-05
ACC-2183,Jordan-Sanchez,SMB,Retail,14,2025-03-15
ACC-2184,"Sparks, Jackson and Miller",SMB,Retail,187,2025-04-26
ACC-2185,"Allen, Durham and Thomas",Mid-Market,Retail,1169,2025-05-10
ACC-2186,Stevens-Estrada,SMB,Retail,118,2025-11-30
ACC-2187,Byrd-Moore,SMB,Retail,189,2024-09-25
ACC-2188,"Evans, Hayden and Vaughn",SMB,Retail,69,2025-10-18
ACC-2189,Gonzalez-Cruz,SMB,Retail,40,2024-03-23
ACC-2190,James LLC,Enterprise,Manufacturing,14552,2024-08-17
ACC-2191,"Phillips, Spence and Barrett",SMB,Healthcare,133,2024-01-07
ACC-2192,"Grimes, Osborne and Beltran",Mid-Market,Manufacturing,1422,2025-08-01
ACC-2193,Wall-Leach,Enterprise,Fintech,16908,2025-04-16
ACC-2194,Robinson-Lee,SMB,Healthcare,87,2025-06-10
ACC-2195,"Saunders, Becker and Taylor",SMB,SaaS,80,2025-05-02
ACC-2196,"Williams, Kramer and Johnson",Mid-Market,Healthcare,458,2025-07-22
ACC-2197,Davis LLC,Enterprise,Healthcare,2803,2025-08-03
ACC-2198,Thompson-Anderson,Mid-Market,Manufacturing,1180,2025-11-11
ACC-2199,Schmidt-Mcintyre,SMB,Fintech,23,2024-07-18
ACC-2200,Coffey-Phillips,SMB,Healthcare,26,2025-09-16
ACC-2201,Mcdonald Inc,SMB,Fintech,171,2025-08-08
ACC-2202,Dalton Ltd,SMB,Media,154,2024-11-04
ACC-2203,"Diaz, Gibbs and Smith",Enterprise,Manufacturing,29274,2024-04-05
ACC-2204,Richardson-Curry,Mid-Market,Healthcare,662,2025-03-30
ACC-2205,Carson-Bentley,SMB,SaaS,123,2025-06-08
ACC-2206,Ruiz PLC,Enterprise,Manufacturing,42699,2024-09-11
ACC-2207,"Walker, Brown and Colon",SMB,Media,199,2024-08-22
ACC-2208,"Ortiz, Taylor and Shah",Mid-Market,Healthcare,1552,2025-01-17
ACC-2209,Davis PLC,SMB,Fintech,54,2024-10-28
ACC-2210,Watson-Avery,SMB,Media,114,2025-02-23
ACC-2211,Matthews-Barber,Mid-Market,Retail,266,2025-05-23
ACC-2212,Bass PLC,SMB,Retail,82,2024-08-05
ACC-2213,Vaughn and Sons,SMB,Retail,69,2024-12-11
ACC-2214,Foley Inc,Mid-Market,Media,1070,2024-10-12
ACC-2215,"Winters, Newman and Brown",SMB,Healthcare,175,2024-05-27
ACC-2216,Rush Group,Mid-Market,SaaS,322,2025-05-29
ACC-2217,May PLC,Mid-Market,SaaS,1733,2024-02-09
ACC-2218,Sanchez-Martinez,Enterprise,Manufacturing,32716,2024-06-08
ACC-2219,Gallegos PLC,Mid-Market,Fintech,1024,2025-03-31
ACC-2220,Li and Sons,SMB,Healthcare,136,2025-08-24
ACC-2221,Kramer PLC,Mid-Market,SaaS,1704,2024-08-03
ACC-2222,Huerta PLC,Mid-Market,Healthcare,387,2025-09-12
ACC-2223,Rodriguez Inc,Enterprise,Fintech,3359,2024-01-12
ACC-2224,Tyler-Young,Enterprise,Healthcare,19662,2024-01-13
ACC-2225,Baker and Sons,Mid-Market,Media,1163,2024-11-22
ACC-2226,"Wilson, Brown and West",Mid-Market,Healthcare,571,2025-02-02
ACC-2227,"Rodriguez, Gordon and Dougherty",SMB,SaaS,135,2025-07-18
ACC-2228,"Boyd, Ellis and Maynard",SMB,SaaS,95,2025-01-07
ACC-2229,Simmons-Rodriguez,SMB,Media,51,2024-12-10
ACC-2230,Lam LLC,Mid-Market,Manufacturing,1556,2024-04-25
ACC-2231,Martinez PLC,Mid-Market,Media,275,2025-03-30
ACC-2232,"Joseph, James and Harper",SMB,Healthcare,74,2024-12-18
ACC-2233,"Jacobs, Garcia and Miles",Enterprise,Media,35724,2025-05-20
ACC-2234,"Le, Lewis and Hayes",Mid-Market,Fintech,1546,2024-11-17
ACC-2235,Wilcox-Ross,SMB,Media,23,2024-03-14
ACC-2236,Simmons-Ortega,SMB,Healthcare,137,2024-04-28
ACC-2237,"Leblanc, Jones and Decker",Mid-Market,SaaS,746,2024-12-01
ACC-2238,Garner LLC,SMB,Fintech,83,2025-03-08
ACC-2239,Willis PLC,SMB,Manufacturing,17,2024-09-13
ACC-2240,"Martinez, Gomez and Ortega",Mid-Market,Retail,524,2025-11-05
ACC-2241,"Williams, Roberts and Edwards",Mid-Market,SaaS,1035,2025-03-24
ACC-2242,"Lewis, Douglas and Walker",SMB,SaaS,39,2024-09-28
ACC-2243,"Richardson, Farmer and Andrews",Mid-Market,Retail,1220,2025-10-18
ACC-2244,"Villegas, Cardenas and Austin",SMB,Media,190,2025-03-08
ACC-2245,Lynch Ltd,Mid-Market,Media,699,2024-07-26
ACC-2246,White Ltd,Mid-Market,Healthcare,590,2024-09-20
ACC-2247,Smith-Kane,SMB,Manufacturing,44,2025-05-25
ACC-2248,Jones-Figueroa,SMB,SaaS,116,2024-03-12
ACC-2249,"Moreno, Bennett and Chavez",SMB,Fintech,10,2024-10-14
ACC-2250,Griffith-Frank,SMB,Manufacturing,160,2025-04-08
ACC-2251,Ware and Sons,SMB,Fintech,48,2025-08-08
ACC-2252,"Williams, Miller and Ramos",SMB,Retail,95,2025-01-12
ACC-2253,"Ramos, Nelson and Fischer",SMB,SaaS,92,2024-09-25
ACC-2254,Rodriguez-Gregory,Enterprise,Manufacturing,27098,2025-01-12
ACC-2255,"Estrada, Williams and Foster",SMB,Manufacturing,115,2024-02-12
ACC-2256,Harris and Sons,Mid-Market,Fintech,1861,2025-08-16
ACC-2257,Roberts-Wilson,SMB,Retail,179,2025-08-03
ACC-2258,Thompson-James,Enterprise,Media,10273,2024-06-27
ACC-2259,"Hansen, Barnett and Gomez",SMB,Retail,161,2025-10-31
ACC-2260,"Williams, Smith and Morse",Enterprise,Healthcare,36468,2025-03-23
ACC-2261,Berry-Mckinney,Enterprise,Retail,11447,2024-08-12
ACC-2262,Sullivan LLC,SMB,Fintech,177,2025-09-14
ACC-2263,"Stevens, Norris and Cox",SMB,Retail,77,2025-10-17
ACC-2264,Sanchez PLC,Mid-Market,Retail,364,2025-02-10
ACC-2265,Foster LLC,Enterprise,Media,22752,2024-09-20
ACC-2266,Cook and Sons,Mid-Market,SaaS,1986,2025-01-31
ACC-2267,"Wilson, Hicks and Bullock",SMB,Healthcare,27,2024-09-29
ACC-2268,"Mullen, Brewer and Hernandez",Mid-Market,SaaS,665,2024-04-23
ACC-2269,Gonzalez-Morrison,SMB,Media,35,2024-02-28
ACC-2270,Bean Ltd,Mid-Market,Retail,1108,2024-12-26
ACC-2271,"Wolf, Cole and Glass",Mid-Market,Manufacturing,294,2025-05-14
ACC-2272,"Downs, Morris and Maddox",Mid-Market,Healthcare,934,2024-04-27
ACC-2273,Jones-Ramos,SMB,Healthcare,72,2025-09-10
ACC-2274,Vargas-Bell,Mid-Market,SaaS,548,2024-08-29
ACC-2275,Hayes-Brown,SMB,Healthcare,107,2024-02-29
ACC-2276,"Lin, Wyatt and Gilbert",SMB,Manufacturing,159,2024-10-25
ACC-2277,Carpenter-Best,SMB,Media,75,2025-11-26
ACC-2278,Cole PLC,Mid-Market,Media,789,2024-05-26
ACC-2279,Jacobs-Mason,SMB,SaaS,28,2024-12-15
ACC-2280,Shepherd LLC,Enterprise,Media,29807,2024-03-06
ACC-2281,"Lucas, Williams and Zimmerman",Mid-Market,Retail,1931,2025-02-11
ACC-2282,"Bishop, Cox and Hardin",SMB,Retail,108,2024-11-13
ACC-2283,Shelton-Williams,SMB,Media,107,2025-05-17
ACC-2284,Jones-Davis,Mid-Market,Media,804,2024-10-27
ACC-2285,King-York,Enterprise,Manufacturing,19988,2025-11-09
ACC-2286,Cook PLC,SMB,Media,185,2024-04-19
ACC-2287,Collins-Douglas,Enterprise,Media,20756,2024-10-31
ACC-2288,Larson Inc,Mid-Market,Healthcare,1443,2025-03-10
ACC-2289,Schneider-Murphy,SMB,Fintech,58,2025-06-04
ACC-2290,"Calderon, Rodgers and Jennings",Mid-Market,Manufacturing,1771,2024-03-13
ACC-2291,"Santiago, Romero and Smith",Mid-Market,Healthcare,1486,2024-05-20
ACC-2292,Peterson Group,Enterprise,Fintech,22246,2024-06-24
ACC-2293,Moore LLC,Mid-Market,SaaS,1386,2025-01-29
ACC-2294,"Conley, Stephenson and Johnson",Mid-Market,Healthcare,804,2025-11-11
ACC-2295,"Anderson, Bennett and Martin",Mid-Market,Media,611,2025-08-21
ACC-2296,"Lamb, Martin and Kim",Mid-Market,Retail,1287,2024-10-09
ACC-2297,"Ball, Montes and Bishop",Enterprise,Media,33578,2025-08-31
ACC-2298,Young-Allen,Enterprise,Retail,24198,2025-10-10
ACC-2299,Richardson PLC,Mid-Market,Retail,354,2024-12-24
ACC-2300,Strickland-Shaw,Mid-Market,Retail,1961,2024-05-05
ACC-2301,Solis and Sons,Mid-Market,Healthcare,1932,2024-02-10
ACC-2302,"Castillo, Watson and Villa",SMB,Media,111,2025-10-19
ACC-2303,"Rosales, Mitchell and Hines",SMB,Healthcare,126,2024-12-14
ACC-2304,"Hernandez, Kim and Potts",Mid-Market,Fintech,1397,2025-09-26
ACC-2305,Wilkerson-Arias,Mid-Market,Retail,421,2024-02-11
ACC-2306,Shaw-Young,SMB,SaaS,16,2024-10-18
ACC-2307,Johnson Inc,SMB,Media,166,2025-05-19
ACC-2308,Moody-Taylor,SMB,Healthcare,128,2025-10-06
ACC-2309,Horton-Taylor,Mid-Market,Media,486,2024-12-30
ACC-2310,Gilbert-Bullock,Enterprise,SaaS,9610,2024-07-17
ACC-2311,Conley PLC,SMB,Media,147,2025-04-17
ACC-2312,"Henderson, Parsons and Young",SMB,SaaS,181,2024-02-07
ACC-2313,Barnes PLC,Enterprise,Retail,49618,2024-02-18
ACC-2314,Copeland Group,SMB,Manufacturing,116,2025-02-20
ACC-2315,Chen PLC,Mid-Market,Fintech,1035,2025-07-12
ACC-2316,Carter Inc,SMB,Manufacturing,104,2024-10-01
ACC-2317,Duncan and Sons,SMB,Media,70,2025-06-03
ACC-2318,Mills LLC,SMB,SaaS,185,2025-02-12
ACC-2319,"Romero, Mcneil and Spencer",Enterprise,Retail,5968,2025-11-09
ACC-2320,Williams-Hughes,SMB,Healthcare,58,2024-07-16
ACC-2321,"Smith, Kramer and Cooper",SMB,Media,64,2025-05-25
ACC-2322,"Garcia, Perkins and Sherman",Mid-Market,Fintech,303,2024-02-04
ACC-2323,Payne-Li,SMB,Fintech,42,2025-10-06
ACC-2324,"Marshall, Dominguez and Welch",SMB,Fintech,151,2024-02-19
ACC-2325,"Parsons, Ellis and Carter",SMB,SaaS,69,2025-09-06
ACC-2326,Blackwell LLC,Mid-Market,Healthcare,205,2025-02-04
ACC-2327,Hays-Daniels,Enterprise,Healthcare,37403,2024-01-29
ACC-2328,"Lee, Kelly and Norman",SMB,Media,54,2024-09-14
ACC-2329,Martinez-Richardson,Enterprise,Retail,25477,2025-07-31
ACC-2330,Kline-Hughes,Mid-Market,Fintech,1405,2025-01-20
ACC-2331,"Jimenez, Glass and Stone",SMB,SaaS,77,2025-07-18
ACC-2332,Miller-Morrison,Mid-Market,Fintech,432,2025-02-27
ACC-2333,Morris-Miller,SMB,Media,102,2024-08-17
ACC-2334,Griffin-Robbins,SMB,Fintech,138,2025-06-19
ACC-2335,Bell-Williams,SMB,Healthcare,178,2025-04-22
ACC-2336,Hill-Whitney,SMB,SaaS,17,2024-02-28
ACC-2337,"Walsh, Cox and Owen",Mid-Market,Media,1605,2024-05-04
ACC-2338,Thomas PLC,SMB,Media,123,2025-08-29
ACC-2339,Johnson-Jones,SMB,Media,47,2024-10-11
ACC-2340,Reyes-Bradley,SMB,Manufacturing,172,2024-04-29
ACC-2341,"Cole, Watson and Wallace",Mid-Market,SaaS,1423,2025-03-21
ACC-2342,Moreno Group,SMB,Healthcare,139,2025-05-19
ACC-2343,Wright-Wilson,SMB,Media,189,2024-05-24
ACC-2344,Holmes-Mcintyre,Mid-Market,SaaS,1676,2024-07-22
ACC-2345,Padilla-Lewis,SMB,Manufacturing,68,2024-08-09
ACC-2346,"Hendricks, Henry and Martinez",Mid-Market,SaaS,1051,2024-12-17
ACC-2347,Roach Group,SMB,SaaS,119,2025-09-21
ACC-2348,"Ponce, Downs and Contreras",SMB,Media,49,2024-02-20
ACC-2349,"Daniels, Vance and York",SMB,Media,31,2025-07-05
ACC-2350,"Little, Leon and Hicks",SMB,SaaS,199,2024-06-05
ACC-2351,Young Group,Mid-Market,SaaS,1350,2024-10-07
ACC-2352,"Armstrong, Mcdonald and Bird",SMB,Fintech,41,2025-04-20
ACC-2353,Jones Group,Enterprise,Media,49255,2025-07-12
ACC-2354,Fox-Hammond,SMB,Manufacturing,83,2024-02-27
ACC-2355,Compton Ltd,SMB,SaaS,157,2024-12-15
ACC-2356,Frazier-Cooper,SMB,Manufacturing,133,2025-05-11
ACC-2357,"White, Burch and Reynolds",SMB,SaaS,152,2025-10-07
ACC-2358,Holmes LLC,Mid-Market,Fintech,663,2024-05-05
ACC-2359,Donovan-Perez,Mid-Market,Manufacturing,1456,2025-11-26
ACC-2360,Singleton-King,Mid-Market,Media,1447,2025-03-03
ACC-2361,Martinez-Turner,Mid-Market,Manufacturing,259,2024-03-13
ACC-2362,"Davidson, Vargas and Carpenter",SMB,Fintech,89,2025-05-26
ACC-2363,"Le, Jacobs and Kirby",SMB,Manufacturing,46,2024-02-01
ACC-2364,Miller Ltd,SMB,Manufacturing,46,2024-07-24
ACC-2365,"Clark, Armstrong and Montgomery",Enterprise,SaaS,36765,2025-01-21
ACC-2366,"Gardner, May and Turner",SMB,Fintech,117,2025-09-17
ACC-2367,"Sullivan, Chavez and Barker",SMB,Fintech,89,2024-12-07
ACC-2368,Washington-Harris,Mid-Market,Manufacturing,1421,2024-04-21
ACC-2369,Hensley-Flores,Enterprise,Healthcare,42490,2024-11-05
ACC-2370,Hodges PLC,SMB,Manufacturing,30,2024-03-23
ACC-2371,Allen-Martinez,Mid-Market,Retail,1443,2024-07-11
